run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,12345,15,46.666666666666664,-58718.79966442583
2,12346,31,61.29032258064516,41358.96696591712

TOTAL,,46,,-17359.83269850871
AVG,,,53.97849462365591,-8679.916349254356
