run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,64,46.875,381730.21376321197
2,,50,38.0,309412.47290130483
3,,54,57.407407407407405,276035.6568903797
4,,42,52.38095238095239,1594.6716036755256
5,,28,35.714285714285715,12335.395267696704
6,,62,48.38709677419355,109885.54186317956
7,,55,43.63636363636363,445665.3568426751
8,,69,43.47826086956522,308747.2038242413
9,,68,47.05882352941176,318651.9115339
10,,43,34.883720930232556,-57790.07525017834

TOTAL,,535,,2106268.3492400865
AVG,,,44.78219112424122,210626.83492400864
