run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,12345,20,40.0,-43361.50008696378
2,12346,67,56.71641791044776,-56696.73082441512
3,12347,33,48.484848484848484,41822.78783232789
4,12348,50,52.0,14771.925199767406
5,12349,58,46.55172413793103,336423.25757382356
6,12350,18,44.44444444444444,-28654.20440183009
7,12351,45,42.22222222222222,267108.36790974106
8,12352,23,39.130434782608695,-9624.862618235557
9,12353,8,75.0,70806.678174872
10,12354,57,47.368421052631575,211000.5754461103

TOTAL,,379,,803596.2942051977
AVG,,,49.19185130351342,80359.62942051978
