=== regime_filter sweep ===
saved_at_jst: 2026-05-09 20:31:16
sweep_stamp: 20260509_202347
repeat_per_cell: 3
replay_mode: fast
replay_seed: 12345

configs:
  - C:\Users\yhach\Documents\tradebotfile\configs\regime_filter_sweep\replay_morning_vwap2_regime_baseline_off.json
  - C:\Users\yhach\Documents\tradebotfile\configs\regime_filter_sweep\replay_morning_vwap2_regime_disable_morning_weak.json
  - C:\Users\yhach\Documents\tradebotfile\configs\regime_filter_sweep\replay_morning_vwap2_regime_disable_rising_ratio_lt50.json
  - C:\Users\yhach\Documents\tradebotfile\configs\regime_filter_sweep\replay_morning_vwap2_regime_disable_topix_weak.json
  - C:\Users\yhach\Documents\tradebotfile\configs\regime_filter_sweep\replay_morning_vwap2_regime_disable_morning_weak__disable_rising_ratio_lt50.json

ソート: avg_expectancy_yen_100_shares（降順）

rank	config_name	replay_range	avg_expectancy_yen	total_pnl_100_shares	max_lose_run_yen	plus_runs	minus_runs	lose_worst10_sum_yen	passed_signals_count	skipped_signals_count	skip_ratio	max_intraday_drawdown	results_folder
1	replay_morning_vwap2_regime_disable_topix_weak	random_60d	+3755.50	+416781.55	+2591.53	3	0	-73184.20	76	50	0.397	+6746.72	results/regime_filter_sweep_20260509_202347\replay_morning_vwap2_regime_disable_topix_weak_random_60d/
2	replay_morning_vwap2_regime_baseline_off	random_60d	+3461.94	+440043.43	+5210.61	3	0	-123476.26	114	0	0.000	+9477.73	results/regime_filter_sweep_20260509_202347\replay_morning_vwap2_regime_baseline_off_random_60d/
3	replay_morning_vwap2_regime_baseline_off	random_apr	+29.14	-12761.14	-46812.24	2	1	-220068.60	125	0	0.000	+48999.35	results/regime_filter_sweep_20260509_202347\replay_morning_vwap2_regime_baseline_off_random_apr/
4	replay_morning_vwap2_regime_disable_morning_weak	random_apr	+0.00	+0.00	+0.00	0	0	+0.00	0	0	0.000	+0.00	results/regime_filter_sweep_20260509_202347\replay_morning_vwap2_regime_disable_morning_weak_random_apr/
5	replay_morning_vwap2_regime_disable_morning_weak	random_60d	+0.00	+0.00	+0.00	0	0	+0.00	0	0	0.000	+0.00	results/regime_filter_sweep_20260509_202347\replay_morning_vwap2_regime_disable_morning_weak_random_60d/
6	replay_morning_vwap2_regime_disable_rising_ratio_lt50	random_apr	+0.00	+0.00	+0.00	0	0	+0.00	0	0	0.000	+0.00	results/regime_filter_sweep_20260509_202347\replay_morning_vwap2_regime_disable_rising_ratio_lt50_random_apr/
7	replay_morning_vwap2_regime_disable_rising_ratio_lt50	random_60d	+0.00	+0.00	+0.00	0	0	+0.00	0	0	0.000	+0.00	results/regime_filter_sweep_20260509_202347\replay_morning_vwap2_regime_disable_rising_ratio_lt50_random_60d/
8	replay_morning_vwap2_regime_disable_morning_weak__disable_rising_ratio_lt50	random_apr	+0.00	+0.00	+0.00	0	0	+0.00	0	0	0.000	+0.00	results/regime_filter_sweep_20260509_202347\replay_morning_vwap2_regime_disable_morning_weak__disable_rising_ratio_lt50_random_apr/
9	replay_morning_vwap2_regime_disable_morning_weak__disable_rising_ratio_lt50	random_60d	+0.00	+0.00	+0.00	0	0	+0.00	0	0	0.000	+0.00	results/regime_filter_sweep_20260509_202347\replay_morning_vwap2_regime_disable_morning_weak__disable_rising_ratio_lt50_random_60d/
10	replay_morning_vwap2_regime_disable_topix_weak	random_apr	-218.11	-29058.79	-66365.85	2	1	-206468.25	96	30	0.238	+48999.35	results/regime_filter_sweep_20260509_202347\replay_morning_vwap2_regime_disable_topix_weak_random_apr/
