run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,111,45.94594594594595,60468.443066413456
2,,103,53.398058252427184,316048.84988382994
3,,116,49.137931034482754,473843.2338102109
4,,62,41.935483870967744,79578.26767329896
5,,89,47.19101123595505,-111974.327065919
6,,131,52.67175572519084,192155.0357573332
7,,101,44.554455445544555,-100665.55264116704
8,,84,47.61904761904761,163032.09495080073
9,,111,45.94594594594595,409661.46947096736
10,,120,51.66666666666667,419080.5130771525

TOTAL,,1028,,1901228.0279829209
AVG,,,48.006630174217435,190122.80279829208
