scenario,symbol_universe_count,screen_mode,top_n,sweep_id,sweep_group,fail_window_min,fail_buffer_pct,bf_confirm_count,no_entry_until,hard_stop_pct,trades,symbols_with_trades,win_rate,total_pnl_pct,avg_pnl_pct,median_pnl_pct,max_loss_pct,profit_factor,breakout_failure_exit_count,hard_stop_count,opening_trade_count,pnl_concentration_top_symbol,pnl_concentration_top_share,exit_reason_counts,mfe_reach_0.3pct,mfe_reach_0.5pct,breakout_continuation_rate,median_hold_min,avg_hold_min,avg_mfe_pct,bias_symbols_with_trades,bias_trades_per_symbol_avg,bias_trades_per_symbol_median,bias_score_pnl_pearson,bias_rank_pnl_pearson,bias_avg_screen_score_traded,bias_avg_turnover_traded,bias_pnl_concentration_top_symbol,bias_pnl_concentration_top_share,bias_9984_pnl_share,bias_large_cap_trade_rate,bias_top_rank_trade_count,bias_top_rank_win_rate,bias_top_rank_total_pnl_pct
universe_full,27,none,27,A_plus_B,phase11,2.0,0.12,2,09:30,1.2,46,10,0.15217391304347827,-28.811791915572435,-0.6263433025124443,-0.32127437670121683,-4.935064935064935,0.07517715031459647,12,8,0,7013.T,0.3347,"{""breakout_failure"": 12, ""board_imbalance_deterioration"": 25, ""hard_stop"": 8, ""push_density_drop"": 1}",0.21739130434782608,0.13043478260869565,0.717391304347826,1.3166666666666667,3.2442028985507245,0.22905368098354348,10,4.6,1.0,0.615275725347783,-0.4858692164701845,78.54578260869565,411161577045.48914,7013.T,0.2879,0.2252,0.8043478260869565,46,0.15217391304347827,-28.811791915572435
screen_top_5,27,walk_forward_liquidity_proxy,5,screen_top_5,phase11,2.0,0.12,2,09:30,1.2,37,3,0.1891891891891892,-10.009543147383827,-0.2705281931725359,-0.29101491451436884,-1.7277214861002859,0.18961571640444244,12,3,0,5803.T,0.5701,"{""breakout_failure"": 12, ""board_imbalance_deterioration"": 21, ""push_density_drop"": 1, ""hard_stop"": 3}",0.21621621621621623,0.13513513513513514,0.7567567567567568,1.3166666666666667,3.781981981981982,0.2198883392808233,3,12.333333333333334,10,0.3192968478801306,-0.33393732433506107,94.63264324324324,495371047294.1892,9984.T,0.5135,0.5135,1.0,37,0.1891891891891892,-10.009543147383827
screen_top_10,27,walk_forward_liquidity_proxy,10,screen_top_10,phase11,2.0,0.12,2,09:30,1.2,38,4,0.18421052631578946,-10.027413054460311,-0.2638792909068503,-0.2882513113412447,-1.7277214861002859,0.18934178267528168,12,3,0,5803.T,0.5691,"{""breakout_failure"": 12, ""board_imbalance_deterioration"": 22, ""push_density_drop"": 1, ""hard_stop"": 3}",0.21052631578947367,0.13157894736842105,0.7631578947368421,1.3166666666666667,3.7403508771929825,0.2159828468867472,4,9.5,5.5,0.15602211095436777,-0.12091534610127141,92.70207631578947,485265151826.6447,9984.T,0.5129,0.5129,0.9736842105263158,38,0.18421052631578946,-10.027413054460311
screen_top_15,27,walk_forward_liquidity_proxy,15,screen_top_15,phase11,2.0,0.12,2,09:30,1.2,42,6,0.16666666666666666,-22.727699054836627,-0.5411356917818244,-0.3106555354300864,-4.504504504504505,0.09342163386767681,12,7,0,7013.T,0.4243,"{""breakout_failure"": 12, ""board_imbalance_deterioration"": 22, ""hard_stop"": 7, ""push_density_drop"": 1}",0.23809523809523808,0.14285714285714285,0.7142857142857143,1.3166666666666667,3.4198412698412697,0.24302015428548615,6,7,2.0,0.7424479080038343,-0.7949623722914866,85.35480714285714,446804597219.8214,7013.T,0.3518,0.2752,0.8809523809523809,42,0.16666666666666666,-22.727699054836627
screen_static_top_5,27,static_period_avg_turnover,5,screen_static_top_5,phase11,2.0,0.12,2,09:30,1.2,37,3,0.1891891891891892,-10.009543147383827,-0.2705281931725359,-0.29101491451436884,-1.7277214861002859,0.18961571640444244,12,3,0,5803.T,0.5701,"{""breakout_failure"": 12, ""board_imbalance_deterioration"": 21, ""push_density_drop"": 1, ""hard_stop"": 3}",0.21621621621621623,0.13513513513513514,0.7567567567567568,1.3166666666666667,3.781981981981982,0.2198883392808233,3,12.333333333333334,10,0.3192968478801306,-0.33393732433506107,94.63264324324324,495371047294.1892,9984.T,0.5135,0.5135,1.0,37,0.1891891891891892,-10.009543147383827
screen_static_top_10,27,static_period_avg_turnover,10,screen_static_top_10,phase11,2.0,0.12,2,09:30,1.2,39,5,0.1794871794871795,-13.085037515456,-0.3355137824475897,-0.29101491451436884,-3.057624460995688,0.15181455796245127,12,4,0,5803.T,0.4361,"{""breakout_failure"": 12, ""board_imbalance_deterioration"": 22, ""hard_stop"": 4, ""push_density_drop"": 1}",0.20512820512820512,0.1282051282051282,0.7435897435897436,1.3166666666666667,3.6495726495726495,0.21094739329481152,5,7.8,1,0.5040140168052668,-0.5544998834851107,90.74021538461538,474995443883.2692,9984.T,0.4246,0.4246,0.9487179487179487,39,0.1794871794871795,-13.085037515456
screen_static_top_15,27,static_period_avg_turnover,15,screen_static_top_15,phase11,2.0,0.12,2,09:30,1.2,43,7,0.16279069767441862,-27.66276398990156,-0.6433200927884084,-0.3207984316521119,-4.935064935064935,0.07805604245325254,12,8,0,7013.T,0.3486,"{""breakout_failure"": 12, ""board_imbalance_deterioration"": 22, ""hard_stop"": 8, ""push_density_drop"": 1}",0.23255813953488372,0.13953488372093023,0.6976744186046512,1.3166666666666667,3.3426356589147286,0.23736852279047485,7,6.142857142857143,1,0.7837150513697041,-0.8564864653233599,83.61656046511628,437705443991.68604,7013.T,0.2981,0.2333,0.8604651162790697,43,0.16279069767441862,-27.66276398990156
