run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,78,48.717948717948715,48920.32545074375
2,,104,50.96153846153846,-504510.303381493
3,,108,58.333333333333336,-254888.17701020793
4,,102,40.19607843137255,92092.7775947965
5,,120,53.333333333333336,-677005.1756821057
6,,87,58.620689655172406,1101112.7216883667
7,,134,58.95522388059702,-125606.28194068244
8,,76,56.57894736842105,878345.65578723
9,,106,57.54716981132076,-521544.42502852244
10,,116,52.58620689655172,921454.1150216847

TOTAL,,1031,,958371.2324998102
AVG,,,53.58304698895894,95837.12324998101
