run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,12345,20,40.0,-43361.50008696378
2,12346,64,54.6875,-52547.86175889677
3,12347,33,48.484848484848484,41822.78783232789

TOTAL,,117,,-54086.574013532656
AVG,,,47.724116161616166,-18028.858004510887
