run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,31,48.38709677419355,319988.0254407734
2,,26,46.15384615384615,-4534.615851915476
3,,8,62.5,28990.946488987604

TOTAL,,65,,344444.35607784556
AVG,,,52.346980976013235,114814.78535928186
