run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,57,57.89473684210527,147052.49443614858
2,,46,45.65217391304348,240747.73291382048
3,,70,50.0,246410.24947176344
4,,50,56.00000000000001,3336.6062242325092
5,,25,28.000000000000004,-17659.09594809647
6,,46,54.347826086956516,285697.66845217155
7,,48,45.83333333333333,333484.4415980852
8,,73,49.31506849315068,61635.290506835365
9,,73,56.16438356164384,302492.901210473
10,,60,46.666666666666664,78441.35375551734

TOTAL,,548,,1681639.642620951
AVG,,,48.98741888968998,168163.9642620951
