run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,59,55.932203389830505,42351.7370130571
2,,46,45.65217391304348,-31339.624651966784
3,,45,46.666666666666664,-21979.596862240498
4,,31,48.38709677419355,21842.983941114686
5,,77,55.84415584415584,286676.54967794695
6,,33,36.36363636363637,-41840.13510155171
7,,29,27.586206896551722,-30123.225457051587
8,,63,42.857142857142854,309784.3322858786
9,,25,36.0,13962.368821010057
10,,44,50.0,331815.07905999204

TOTAL,,452,,881150.4687261889
AVG,,,44.5289282705221,88115.04687261888
