run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,106,53.77358490566038,516147.457742787
2,,130,64.61538461538461,-1323539.1287263837
3,,102,54.90196078431373,1103663.6971455056
4,,138,61.59420289855072,1121733.3469144981
5,,108,55.55555555555556,-519343.4620820622
6,,111,48.64864864864865,-720473.6100239945
7,,142,42.95774647887324,-936123.9681720452
8,,89,48.31460674157304,-161174.2662488717
9,,102,46.07843137254902,-979372.3528753467
10,,91,43.956043956043956,109235.62945421351

TOTAL,,1119,,-1789246.6568716997
AVG,,,52.03961659571529,-178924.66568716997
