run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,50,54.0,-12577.674837008704
2,,29,37.93103448275862,15822.407612566667
3,,50,52.0,366193.83896629955
4,,57,54.385964912280706,426464.6854290304
5,,42,47.61904761904761,363976.79898037703
6,,43,46.51162790697674,27447.485478580802
7,,60,60.0,137268.25348278007
8,,46,45.65217391304348,103039.48103322963
9,,59,50.847457627118644,420282.1936357442
10,,39,64.1025641025641,19131.280305044307

TOTAL,,475,,1867048.750086644
AVG,,,51.30498705637899,186704.87500866438
