trade_date,trades,win_rate,total_pnl_pct,avg_pnl_pct,median_pnl_pct,max_loss_pct,avg_loss_pct,profit_factor,exit_reason_counts
2026-04-10,1,0.0,-0.5262202866993286,-0.5262202866993286,-0.5262202866993286,-0.5262202866993286,-0.5262202866993286,0.0,"{""breakout_failure"": 1}"
2026-04-13,1,0.0,-1.3324450366422385,-1.3324450366422385,-1.3324450366422385,-1.3324450366422385,-1.3324450366422385,0.0,"{""hard_stop"": 1}"
2026-04-14,5,0.0,-2.542051125997215,-0.508410225199443,-0.4627374573794447,-0.7184194771502694,-0.508410225199443,0.0,"{""breakout_failure"": 5}"
2026-04-15,3,0.0,-2.2510536899435256,-0.7503512299811751,-0.4869411243913236,-1.564245810055866,-0.7503512299811751,0.0,"{""hard_stop"": 1, ""breakout_failure"": 2}"
2026-04-16,3,0.0,-1.497859608194902,-0.49928653606496737,-0.5717916137229987,-0.6220506220506221,-0.49928653606496737,0.0,"{""breakout_failure"": 3}"
2026-04-21,5,0.0,-2.5547215677584925,-0.5109443135516984,-0.5150554675118859,-1.131401349741961,-0.5109443135516984,0.0,"{""breakout_failure"": 4, ""board_imbalance_deterioration"": 1}"
2026-04-22,13,0.0,-7.623613989399669,-0.5864318453384361,-0.5807622504537204,-1.1094396389620158,-0.5864318453384361,0.0,"{""breakout_failure"": 13}"
2026-04-23,1,0.0,-1.2222579607590867,-1.2222579607590867,-1.2222579607590867,-1.2222579607590867,-1.2222579607590867,0.0,"{""hard_stop"": 1}"
2026-04-24,2,0.0,-1.2728804297939935,-0.6364402148969968,-0.6364402148969968,-0.6600101540023693,-0.6364402148969968,0.0,"{""breakout_failure"": 2}"
2026-04-27,3,0.0,-2.0986967798149707,-0.6995655932716569,-0.6371507923541905,-0.9981999672721321,-0.6995655932716569,0.0,"{""breakout_failure"": 3}"
2026-04-30,3,0.0,-4.700606579152094,-1.5668688597173646,-1.3178599527930763,-2.3255813953488373,-1.5668688597173646,0.0,"{""hard_stop"": 2, ""breakout_failure"": 1}"
2026-05-01,7,0.0,-11.474639850145852,-1.6392342643065503,-1.0052777079668258,-4.935064935064935,-1.6392342643065503,0.0,"{""breakout_failure"": 4, ""hard_stop"": 2, ""board_imbalance_deterioration"": 1}"
2026-05-07,17,0.0,-7.5126664912662084,-0.4419215583097769,-0.44709388971684055,-1.4133165829145728,-0.4419215583097769,0.0,"{""hard_stop"": 1, ""breakout_failure"": 15, ""board_imbalance_deterioration"": 1}"
2026-05-08,4,0.0,-8.17424419501811,-2.0435610487545275,-1.8271928914720643,-4.504504504504505,-2.0435610487545275,0.0,"{""board_imbalance_deterioration"": 1, ""hard_stop"": 2, ""breakout_failure"": 1}"
2026-05-12,11,0.0,-12.175278468554659,-1.1068434971413328,-0.8897485493230174,-2.188679245283019,-1.1068434971413328,0.0,"{""hard_stop"": 5, ""breakout_failure"": 6}"
2026-05-13,1,0.0,-0.3449465332873405,-0.3449465332873405,-0.3449465332873405,-0.3449465332873405,-0.3449465332873405,0.0,"{""breakout_failure"": 1}"
2026-05-14,2,0.0,-2.6685864356197686,-1.3342932178098843,-1.3342932178098843,-2.0761245674740483,-1.3342932178098843,0.0,"{""breakout_failure"": 1, ""hard_stop"": 1}"
2026-05-15,1,0.0,-0.36636136552872606,-0.36636136552872606,-0.36636136552872606,-0.36636136552872606,-0.36636136552872606,0.0,"{""breakout_failure"": 1}"
