run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,58,53.44827586206896,16227.36014889543
2,,45,51.11111111111111,364652.0637139209
3,,48,50.0,336478.50807591376
4,,42,50.0,42791.60780084992
5,,54,50.0,265847.9391104457
6,,42,52.38095238095239,360816.88144834916
7,,54,50.0,265847.9391104457
8,,22,31.818181818181817,-10077.93674855428
9,,51,49.01960784313725,70499.72100883159
10,,30,53.333333333333336,41638.48483885384

TOTAL,,446,,1754722.5685079517
AVG,,,49.11114623487849,175472.25685079518
