run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,47,53.191489361702125,73035.8168532043
2,,21,66.66666666666666,39029.89704494609
3,,36,55.55555555555556,67704.79086322349
4,,25,44.0,11397.394505225087
5,,20,55.00000000000001,41795.07779706359
6,,31,48.38709677419355,-31063.287993889215
7,,28,50.0,48151.69439510128
8,,19,31.57894736842105,-62152.48183080892
9,,28,46.42857142857143,46920.16753566269
10,,44,63.63636363636363,188269.73742989806

TOTAL,,299,,423088.80659962643
AVG,,,51.4444690791474,42308.88065996264
