datetime_jst,symbol,signal_type,entry_price,exit_price,exit_reason,pnl_yen_100_shares,market_regime,rising_ratio,topix_pct,entry_vwap_distance_pct,high_update_count_before_entry,skipped,skip_reason
2026-05-08 09:18:00,6526.T,BASE,2022.0200,2029.0000,,,WEAK,0.240000,-0.197487,0.836921,2,true,REGIME_FILTER_RISING_LT50
2026-05-08 09:23:00,6526.T,BASE,2044.5425,2045.0000,,,WEAK,0.320000,-0.074060,1.293900,3,true,REGIME_FILTER_RISING_LT50
2026-05-08 09:24:00,6920.T,BASE,43853.8100,43900.0000,,,WEAK,0.320000,-0.049374,0.838814,2,true,REGIME_FILTER_RISING_LT50
2026-05-08 09:27:00,6890.T,BASE,9239.2300,9250.0000,,,WEAK,0.280000,-0.049374,0.626894,2,true,REGIME_FILTER_RISING_LT50
2026-05-08 09:31:00,6526.T,BASE,2058.0560,2070.0000,,,WEAK,0.280000,-0.172800,2.009909,0,true,REGIME_FILTER_RISING_LT50
2026-05-08 09:32:00,6890.T,BASE,9279.2700,9350.0000,,,WEAK,0.320000,-0.148113,1.613805,0,true,REGIME_FILTER_RISING_LT50
2026-05-08 09:33:00,6920.T,BASE,44124.0800,44290.0000,,,WEAK,0.320000,-0.148113,1.348869,2,true,REGIME_FILTER_RISING_LT50
2026-05-08 09:36:00,6890.T,BASE,9409.4000,9430.0000,,,WEAK,0.360000,-0.148113,2.359412,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 09:38:00,5016.T,BASE,5172.1670,5181.0000,,,WEAK,0.400000,-0.098740,0.975505,0,true,REGIME_FILTER_RISING_LT50
2026-05-08 09:41:00,6920.T,BASE,44434.3900,44600.0000,,,WEAK,0.360000,-0.172800,1.749704,3,true,REGIME_FILTER_RISING_LT50
2026-05-08 09:42:00,6890.T,BASE,9439.4300,9550.0000,,,WEAK,0.360000,-0.246853,3.395074,0,true,REGIME_FILTER_RISING_LT50
2026-05-08 09:47:00,6890.T,BASE,9579.5700,9620.0000,,,NORMAL,0.400000,-0.172800,3.777655,4,true,REGIME_FILTER_RISING_LT50
2026-05-08 09:50:00,5016.T,BASE,5214.2090,5217.0000,,,NORMAL,0.440000,-0.222166,1.387763,2,true,REGIME_FILTER_RISING_LT50
2026-05-08 10:01:00,6315.T,BASE,3288.2850,3300.0000,,,NORMAL,0.480000,-0.222166,1.576605,2,true,REGIME_FILTER_RISING_LT50
2026-05-08 10:03:00,6920.T,BASE,44544.5000,44600.0000,,,WEAK,0.480000,-0.172800,1.359178,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 10:05:00,5016.T,BASE,5196.1910,5197.0000,,,WEAK,0.480000,-0.123426,0.848687,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 10:05:00,7012.T,BASE,3288.2850,3301.0000,,,WEAK,0.480000,-0.123426,1.737319,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 10:07:00,9412.T,BASE,3623.6200,3625.0000,,,NORMAL,0.480000,-0.172800,1.829684,2,true,REGIME_FILTER_RISING_LT50
2026-05-08 10:09:00,6526.T,BASE,2120.1180,2120.5000,,,WEAK,0.480000,-0.197487,0.963761,0,true,REGIME_FILTER_RISING_LT50
