run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,36,58.333333333333336,17581.38701073454
2,,64,48.4375,434477.33750587347
3,,40,55.00000000000001,372513.8088932629
4,,58,48.275862068965516,374540.58347775275
5,,40,47.5,60384.33770651348
6,,30,50.0,31583.747220959984
7,,24,37.5,24027.670197232845
8,,30,53.333333333333336,373.1377132063526
9,,25,36.0,-43545.88070231935
10,,51,52.94117647058824,17312.701536307486

TOTAL,,398,,1289248.8305595245
AVG,,,48.73212052062205,128924.88305595245
