rank,symbol,symbol_name,current_price,change_pct,trading_value,trading_volume,vwap,vwap_distance_pct,high_proximity_ratio,spread_bps,board_imbalance,freshness_sec,score,pass_screen,reject_reasons
1,9984,ソフトバンクグループ,5745.0,-0.43,409873170400.0,69924000.0,5861.6951,-1.9908080855314345,0.9543189368770764,6.960153123368714,0.5004830917874397,109523.49117,59.4879,True,
2,8306,三菱ＵＦＪフィナンシャル・グループ,2929.0,1.81,138013524750.0,47220900.0,2922.7212,0.21482719597066074,0.9923767575808911,25.63445270443476,0.2140033879164314,109523.491274,57.4701,True,
3,6758,ソニーグループ,3576.0,3.83,114647778300.0,31904000.0,3593.5236,-0.48764393811132856,0.9805319440636139,5.592841163310962,0.5531914893617021,109523.491223,54.3087,True,
