run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,55,52.72727272727272,194044.37162376358
2,,27,37.03703703703704,22400.69664391949
3,,57,50.877192982456144,330013.206064631
4,,34,41.17647058823529,30149.01921304953
5,,57,50.877192982456144,29957.222689982584
6,,53,50.943396226415096,339415.59911424934
7,,34,38.23529411764706,11054.670615877214
8,,44,50.0,41157.33792122361
9,,54,50.0,311315.5086135801
10,,33,51.515151515151516,44966.93792870943

TOTAL,,448,,1354474.5704289859
AVG,,,47.338900817667096,135447.45704289858
