run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,164,60.97560975609756,499813.3953287267
2,,130,53.84615384615385,837240.6453373428
3,,87,51.724137931034484,-1353519.1479687472
4,,119,57.98319327731093,514100.97593479126
5,,106,62.264150943396224,-404310.8632132176
6,,71,54.929577464788736,1034682.939838419
7,,74,51.35135135135135,-73151.23305996231
8,,120,64.16666666666667,1098438.893062816
9,,107,62.616822429906534,897368.1113238629
10,,104,62.5,2102025.088374154

TOTAL,,1082,,5152688.804958186
AVG,,,58.23576636667063,515268.8804958186
