run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,79,56.9620253164557,273687.823369344
2,,92,46.73913043478261,-1091403.9253005476
3,,96,62.5,1397978.6976512177
4,,115,51.30434782608696,228791.0026445438
5,,100,38.0,-739421.9314218436
6,,141,52.4822695035461,-16789.651730033595
7,,126,50.0,-155767.40866923385
8,,116,47.41379310344828,-695297.1527774623
9,,67,44.776119402985074,-107470.79897875588
10,,84,55.952380952380956,862511.2357310834

TOTAL,,1016,,-43182.109481687876
AVG,,,50.61300665396857,-4318.210948168788
