run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,33,48.484848484848484,1688.0734577319486
2,,33,57.57575757575758,19863.049943248257
3,,56,50.0,34182.496142910684
4,,61,62.295081967213115,217735.77049349592
5,,45,46.666666666666664,6350.832693995079
6,,67,50.74626865671642,158668.2183302619
7,,81,56.79012345679012,388992.2064569195
8,,56,50.0,73487.74838897969
9,,49,44.89795918367347,46632.19640643256
10,,60,60.0,395614.51921281335

TOTAL,,541,,1343215.111526789
AVG,,,52.74567059916659,134321.5111526789
