symbol,exchange,symbol_key,symbol_name,passed,exclude_reasons,current_price,trading_value,trading_volume,spread_bps,security_type,exchange_name,board_error
9984,1,9984@1,ソフトバンクグループ,True,,5745.0,409873170400.0,69924000.0,6.9602,1,東証プ,
7203,1,7203@1,トヨタ自動車,False,missing_trading_value|missing_spread_bps,3085.0,,,,1,東証プ,
6758,1,6758@1,ソニーグループ,True,,3576.0,114647778300.0,31904000.0,5.5928,1,東証プ,
8306,1,8306@1,三菱ＵＦＪフィナンシャル・グループ,True,,2929.0,138013524750.0,47220900.0,25.6345,1,東証プ,
1306,1,1306@1,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,False,market_not_prime|etf|missing_trading_value|missing_spread_bps,409.9,,,,1,東証ETF/ETN,
1321,1,1321@1,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,False,market_not_prime|etf,64280.0,46259552240.0,714753.0,9.3371,1,東証ETF/ETN,
